date,opponent,location,home,conference,result,tournament,tripId,travelMode,lat,lng
Aug 29,South Alabama,"Baton Rouge, LA",FALSE,FALSE,W 3-1,,baton-rouge-trip-1,tbd,,
Aug 30,SMU,"Baton Rouge, LA",FALSE,FALSE,L 2-3,,baton-rouge-trip-1,tbd,,
Aug 31,LSU,"Baton Rouge, LA",FALSE,FALSE,W 3-1,,baton-rouge-trip-1,tbd,,
Sep 4,Northwestern,"Waco, TX",TRUE,FALSE,W 3-2,Baylor Classic,,,,
Sep 5,Saint Mary's (CA),"Waco, TX",TRUE,FALSE,W 3-0,Baylor Classic,,,,
Sep 7,Rice,"Waco, TX",TRUE,FALSE,W 3-0,Baylor Classic,,,,
Sep 14,Florida,"Gainesville, FL",FALSE,FALSE,L 2-3,,,tbd,,
Sep 16,UCF,"Orlando, FL",FALSE,TRUE,W 3-0,,,tbd,,
Sep 19,Texas,"Austin, TX",FALSE,FALSE,L 0-3,,,tbd,,
Sep 24,Texas Tech,"Lubbock, TX",FALSE,TRUE,W 3-1,,,tbd,,
Sep 27,TCU,"Waco, TX",TRUE,TRUE,W 3-2,,,,,
Oct 1,Houston,"Waco, TX",TRUE,TRUE,W 3-0,,,,,
Oct 3,Kansas,"Waco, TX",TRUE,TRUE,L 2-3,,,,,
Oct 8,Arizona State,"Tempe, AZ",FALSE,TRUE,L 0-3,,,tbd,,
Oct 10,Arizona,"Tucson, AZ",FALSE,TRUE,L 0-3,,,tbd,,
Oct 15,Kansas State,"Waco, TX",TRUE,TRUE,W 3-1,,,,,
Oct 17,Cincinnati,"Waco, TX",TRUE,TRUE,W 3-1,,,,,
Oct 23,BYU,"Waco, TX",TRUE,TRUE,W 3-2,,,,,
Oct 29,Iowa State,"Ames, IA",FALSE,TRUE,L 0-3,,,tbd,,
Oct 31,Colorado,"Boulder, CO",FALSE,TRUE,L 1-3,,,tbd,,
Nov 7,West Virginia,"Waco, TX",TRUE,TRUE,W 3-0,,,,,
Nov 9,Utah,"Waco, TX",TRUE,TRUE,W 3-0,,,,,
Nov 12,Kansas State,"Manhattan, KS",FALSE,TRUE,L 1-3,,,tbd,,
Nov 15,Houston,"Houston, TX",FALSE,TRUE,W 3-1,,,tbd,,
Nov 20,Texas Tech,"Waco, TX",TRUE,TRUE,W 3-1,,,,,
Nov 26,TCU,"Fort Worth, TX",FALSE,TRUE,W 3-2,,,tbd,,
Dec 4,Arkansas State,"West Lafayette, IN",FALSE,FALSE,W 3-2,NCAA First & Second Rounds,west-lafayette-trip-2,tbd,,
Dec 5,Purdue,"West Lafayette, IN",FALSE,FALSE,L 1-3,NCAA First & Second Rounds,west-lafayette-trip-2,tbd,,
